date,value
2005-09-08,3367
2005-09-12,3370
2005-09-13,3375
2005-09-15,3376
2005-09-21,3377
2005-09-25,3378
2005-10-01,3380
2005-10-04,3381
2005-10-06,3385
2005-10-07,3386
2005-10-08,3387
2005-10-10,3388
2005-10-11,3392
2005-10-12,3393
2005-10-13,3396
2005-10-17,3397
2005-10-26,3398
2005-10-30,3402
2005-11-01,3404
2005-11-02,3405
2005-11-07,3407
2005-11-14,3408
2005-11-15,3410
2005-11-28,3411
2005-12-01,3420
2005-12-05,3422
2005-12-12,3423
2005-12-14,3424
2005-12-15,3425
2005-12-20,3426
2005-12-22,3427
2005-12-24,3428
2006-01-01,3588
2006-01-04,3589
2006-01-11,3591
2006-01-20,3592
2006-01-25,3593
2006-01-29,3594
2006-02-01,3598
2006-02-13,3599
2006-02-15,3600
2006-02-19,3604
2006-02-28,3605
2006-03-01,3619
2006-03-22,3621
2006-04-01,3629
2006-04-03,3630
2006-04-10,3631
2006-04-13,3632
2006-04-14,3633
2006-04-17,3636
2006-04-23,3637
2006-05-01,3648
2006-05-14,3672
2006-05-18,3673
2006-05-22,3674
2006-05-24,3675
2006-05-25,3676
2006-06-01,3682
2006-06-04,3688
2006-06-05,3690
2006-06-07,3691
2006-06-08,3695
2006-06-09,3697
2006-06-16,3700
2006-06-17,3701
2006-06-19,3702
2006-06-20,3703
2006-06-25,3705
2006-06-28,3715
2006-07-01,3724
2006-07-06,3727
2006-07-10,3728
2006-07-15,3729
2006-07-17,3743
2006-07-20,3744
2006-07-22,3751
2006-07-23,3752
2006-07-24,3753
2006-08-01,3757
2006-08-05,3758
2006-08-06,3762
2006-08-08,3765
2006-08-15,3766
2006-08-20,3767
2006-08-23,3768
2006-09-01,3779
2006-09-04,3781
2006-09-10,3782
2006-09-11,3787
2006-09-12,3788
2006-09-16,3789
2006-09-17,3808
2006-09-20,3811
2006-09-27,3812
2006-09-30,3813
2006-10-01,3828
2006-10-16,3834
2006-10-23,3839
2006-10-24,3844
2006-10-26,3845
2006-10-30,3846
2006-10-31,3847
2006-11-01,3851
2006-11-02,3853
2006-11-03,3855
2006-11-06,3858
2006-11-08,3860
2006-11-10,3861
2006-11-13,3864
2006-11-20,3866
2006-11-28,3867
2006-12-01,3882
2006-12-04,3886
2006-12-07,3887
2006-12-13,3888
2006-12-17,3889
2006-12-18,3890
2006-12-22,3891
2006-12-26,3892
2006-12-30,3893
2007-01-01,4061
2007-01-02,4062
2007-01-06,4063
2007-01-28,4064
2007-01-29,4065
2007-02-01,4074
2007-02-05,4075
2007-02-07,4076
2007-02-15,4077
2007-03-01,4080
2007-03-03,4082
2007-03-05,4083
2007-03-11,4084
2007-03-13,4085
2007-03-14,4086
2007-03-15,4088
2007-03-28,4090
2007-03-29,4091
2007-04-01,4102
2007-04-02,4106
2007-04-05,4107
2007-04-07,4108
2007-04-15,4132
2007-04-22,4135
2007-04-26,4138
2007-05-01,4141
2007-05-18,4142
2007-05-21,4144
2007-05-22,4148
2007-05-23,4150
2007-05-27,4151
2007-06-01,4170
2007-06-06,4174
2007-06-11,4177
2007-06-17,4178
2007-06-20,4180
2007-06-22,4181
2007-06-23,4186
2007-06-25,4187
2007-06-27,4188
2007-06-28,4190
2007-06-29,4191
2007-06-30,4192
2007-07-01,4196
2007-07-02,4197
2007-07-18,4198
2007-07-22,4199
2007-07-23,4205
2007-07-24,4206
2007-07-25,4207
2007-08-01,4214
2007-08-09,4216
